dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
breast_cancer,19,25,0.9,30,5,127,1.6336246431337617e-05,1
breast_cancer,19,25,0.9,31,52,113,2.7715095803654277e-05,1
breast_cancer,19,25,0.9,32,1,56,2.3868874380154892e-05,1
breast_cancer,19,25,0.9,33,1,112,5.6626139644794585e-05,1
breast_cancer,19,25,0.9,34,1,145,-1.2189316186067903e-05,0
breast_cancer,19,25,0.9,35,1,18,-6.56094189102098e-06,0
breast_cancer,19,25,0.9,36,1,19,4.023468144878292e-05,1
breast_cancer,19,25,0.9,37,1,102,4.615829780337151e-05,1
breast_cancer,19,25,0.9,38,1,2,0.7165550328957274,1
breast_cancer,19,25,0.9,39,1,78,0.10912563685965002,1
breast_cancer,19,25,0.9,40,1,9,0.014143999310003975,1
breast_cancer,19,25,0.9,41,1,58,0.010617019649692132,1
breast_cancer,19,25,0.9,42,1,100,7.103401281210835e-05,1
breast_cancer,19,25,0.9,43,1,42,0.003240127981780666,1
breast_cancer,19,50,0.75,1,19,94,5.558846311592633e-05,1
breast_cancer,19,50,0.75,2,1,13,-8.124056389200579e-06,1
breast_cancer,19,50,0.75,3,4,184,1.268364865690888e-05,1
breast_cancer,19,50,0.75,4,2,135,6.220826350315789e-06,1
breast_cancer,19,50,0.75,5,9,48,1.8007275294985164e-05,1
breast_cancer,19,50,0.75,6,7,108,1.4054704422027109e-05,1
breast_cancer,19,50,0.75,7,6,144,2.728956866535938e-05,1
breast_cancer,19,50,0.75,8,1,52,9.96983187996972e-06,1
breast_cancer,19,50,0.75,9,31,140,2.6744058215663613e-05,1
breast_cancer,19,50,0.75,10,5,95,1.2639536168299048e-05,1
breast_cancer,19,50,0.75,11,96,49,5.4314899100406724e-05,1
breast_cancer,19,50,0.75,12,1,112,5.6626139644794585e-05,1
breast_cancer,19,50,0.75,13,1,145,-1.2189316186067903e-05,1
breast_cancer,19,50,0.75,14,1,18,-6.56094189102098e-06,1
breast_cancer,19,50,0.75,15,1,19,4.023468144878292e-05,1
breast_cancer,19,50,0.75,16,1,102,4.615829780337151e-05,1
breast_cancer,19,50,0.75,17,2,2,0.7165550328957274,1
breast_cancer,19,50,0.75,18,1,9,0.014143999310003975,1
breast_cancer,19,50,0.75,19,1,58,0.010617019649692132,1
breast_cancer,19,50,0.75,20,1,100,7.103401281210835e-05,1
breast_cancer,19,50,0.75,21,1,42,0.003240127981780666,1
breast_cancer,19,50,0.85,1,19,94,5.558846311592633e-05,1
breast_cancer,19,50,0.85,2,1,13,-8.124056389200579e-06,1
breast_cancer,19,50,0.85,3,4,184,1.268364865690888e-05,1
breast_cancer,19,50,0.85,4,1,91,-3.693923677421801e-06,1
breast_cancer,19,50,0.85,5,1,135,6.220826350315789e-06,1
breast_cancer,19,50,0.85,6,6,48,1.8007275294985164e-05,1
breast_cancer,19,50,0.85,7,3,173,1.4189532326833176e-05,1
breast_cancer,19,50,0.85,8,2,98,1.3338316241522444e-05,1
breast_cancer,19,50,0.85,9,4,108,1.4054704422027109e-05,1
breast_cancer,19,50,0.85,10,1,172,2.7472808258235254e-06,1
breast_cancer,19,50,0.85,11,6,144,2.728956866535938e-05,1
breast_cancer,19,50,0.85,12,1,52,9.96983187996972e-06,1
breast_cancer,19,50,0.85,13,31,140,2.6744058215663613e-05,1
breast_cancer,19,50,0.85,14,2,190,1.0273783217650337e-05,1
breast_cancer,19,50,0.85,15,3,95,1.2639536168299048e-05,1
breast_cancer,19,50,0.85,16,18,32,2.5006581490445365e-05,1
breast_cancer,19,50,0.85,17,9,49,5.4314899100406724e-05,1
breast_cancer,19,50,0.85,18,4,142,3.1507761089262856e-05,1
breast_cancer,19,50,0.85,19,65,113,2.7715095803654277e-05,1
breast_cancer,19,50,0.85,20,1,112,5.6626139644794585e-05,1
breast_cancer,19,50,0.85,21,1,145,-1.2189316186067903e-05,1
breast_cancer,19,50,0.85,22,1,18,-6.56094189102098e-06,1
breast_cancer,19,50,0.85,23,1,19,4.023468144878292e-05,1
breast_cancer,19,50,0.85,24,1,102,4.615829780337151e-05,1
breast_cancer,19,50,0.85,25,1,2,0.7165550328957274,1
breast_cancer,19,50,0.85,26,1,78,0.10912563685965002,1
breast_cancer,19,50,0.85,27,1,9,0.014143999310003975,1
breast_cancer,19,50,0.85,28,1,58,0.010617019649692132,1
breast_cancer,19,50,0.85,29,1,100,7.103401281210835e-05,1
breast_cancer,19,50,0.85,30,1,42,0.003240127981780666,1
breast_cancer,19,50,0.9,1,18,94,5.558846311592633e-05,1
breast_cancer,19,50,0.9,2,1,74,3.4970736820075926e-05,1
breast_cancer,19,50,0.9,3,1,13,-8.124056389200579e-06,1
breast_cancer,19,50,0.9,4,3,184,1.268364865690888e-05,1
breast_cancer,19,50,0.9,5,1,181,4.939868219235033e-07,1
breast_cancer,19,50,0.9,6,1,91,-3.693923677421801e-06,1
breast_cancer,19,50,0.9,7,1,135,6.220826350315789e-06,1
breast_cancer,19,50,0.9,8,6,48,1.8007275294985164e-05,1
breast_cancer,19,50,0.9,9,2,173,1.4189532326833176e-05,1
breast_cancer,19,50,0.9,10,1,178,-5.775682118005707e-06,1
breast_cancer,19,50,0.9,11,2,98,1.3338316241522444e-05,1
breast_cancer,19,50,0.9,12,2,183,6.418725203028927e-06,1
breast_cancer,19,50,0.9,13,2,108,1.4054704422027109e-05,1
breast_cancer,19,50,0.9,14,1,172,2.7472808258235254e-06,1
breast_cancer,19,50,0.9,15,6,144,2.728956866535938e-05,1
breast_cancer,19,50,0.9,16,1,52,9.96983187996972e-06,1
breast_cancer,19,50,0.9,17,16,140,2.6744058215663613e-05,1
breast_cancer,19,50,0.9,18,2,134,1.9580585992790694e-05,1
breast_cancer,19,50,0.9,19,13,109,1.6772254359575037e-05,1
breast_cancer,19,50,0.9,20,2,190,1.0273783217650337e-05,1
breast_cancer,19,50,0.9,21,3,95,1.2639536168299048e-05,1
breast_cancer,19,50,0.9,22,11,32,2.5006581490445365e-05,1
breast_cancer,19,50,0.9,23,2,163,1.0535878892674669e-05,1
breast_cancer,19,50,0.9,24,5,166,1.4488344304126877e-05,1
breast_cancer,19,50,0.9,25,2,49,5.4314899100406724e-05,1
breast_cancer,19,50,0.9,26,7,47,1.3759965371930305e-05,1
breast_cancer,19,50,0.9,27,4,142,3.1507761089262856e-05,1
breast_cancer,19,50,0.9,28,6,6,1.557896694007535e-05,1
breast_cancer,19,50,0.9,29,1,46,1.8342239907764846e-06,1
breast_cancer,19,50,0.9,30,5,127,1.6336246431337617e-05,1
breast_cancer,19,50,0.9,31,52,113,2.7715095803654277e-05,1
breast_cancer,19,50,0.9,32,1,56,2.3868874380154892e-05,1
breast_cancer,19,50,0.9,33,1,112,5.6626139644794585e-05,1
breast_cancer,19,50,0.9,34,1,145,-1.2189316186067903e-05,1
breast_cancer,19,50,0.9,35,1,18,-6.56094189102098e-06,1
breast_cancer,19,50,0.9,36,1,19,4.023468144878292e-05,1
breast_cancer,19,50,0.9,37,1,102,4.615829780337151e-05,1
breast_cancer,19,50,0.9,38,1,2,0.7165550328957274,1
breast_cancer,19,50,0.9,39,1,78,0.10912563685965002,1
breast_cancer,19,50,0.9,40,1,9,0.014143999310003975,1
breast_cancer,19,50,0.9,41,1,58,0.010617019649692132,1
breast_cancer,19,50,0.9,42,1,100,7.103401281210835e-05,1
breast_cancer,19,50,0.9,43,1,42,0.003240127981780666,1
breast_cancer,19,100,0.75,1,19,94,5.558846311592633e-05,1
breast_cancer,19,100,0.75,2,1,13,-8.124056389200579e-06,1
breast_cancer,19,100,0.75,3,4,184,1.268364865690888e-05,1
breast_cancer,19,100,0.75,4,2,135,6.220826350315789e-06,1
breast_cancer,19,100,0.75,5,9,48,1.8007275294985164e-05,1
breast_cancer,19,100,0.75,6,7,108,1.4054704422027109e-05,1
breast_cancer,19,100,0.75,7,6,144,2.728956866535938e-05,1
breast_cancer,19,100,0.75,8,1,52,9.96983187996972e-06,1
breast_cancer,19,100,0.75,9,31,140,2.6744058215663613e-05,1
breast_cancer,19,100,0.75,10,5,95,1.2639536168299048e-05,1
breast_cancer,19,100,0.75,11,96,49,5.4314899100406724e-05,1
breast_cancer,19,100,0.75,12,1,112,5.6626139644794585e-05,1
breast_cancer,19,100,0.75,13,1,145,-1.2189316186067903e-05,1
breast_cancer,19,100,0.75,14,1,18,-6.56094189102098e-06,1
breast_cancer,19,100,0.75,15,1,19,4.023468144878292e-05,1
breast_cancer,19,100,0.75,16,1,102,4.615829780337151e-05,1
breast_cancer,19,100,0.75,17,2,2,0.7165550328957274,1
breast_cancer,19,100,0.75,18,1,9,0.014143999310003975,1
breast_cancer,19,100,0.75,19,1,58,0.010617019649692132,1
breast_cancer,19,100,0.75,20,1,100,7.103401281210835e-05,1
breast_cancer,19,100,0.75,21,1,42,0.003240127981780666,1
breast_cancer,19,100,0.85,1,19,94,5.558846311592633e-05,1
breast_cancer,19,100,0.85,2,1,13,-8.124056389200579e-06,1
breast_cancer,19,100,0.85,3,4,184,1.268364865690888e-05,1
breast_cancer,19,100,0.85,4,1,91,-3.693923677421801e-06,1
breast_cancer,19,100,0.85,5,1,135,6.220826350315789e-06,1
breast_cancer,19,100,0.85,6,6,48,1.8007275294985164e-05,1
breast_cancer,19,100,0.85,7,3,173,1.4189532326833176e-05,1
breast_cancer,19,100,0.85,8,2,98,1.3338316241522444e-05,1
breast_cancer,19,100,0.85,9,4,108,1.4054704422027109e-05,1
breast_cancer,19,100,0.85,10,1,172,2.7472808258235254e-06,1
breast_cancer,19,100,0.85,11,6,144,2.728956866535938e-05,1
breast_cancer,19,100,0.85,12,1,52,9.96983187996972e-06,1
breast_cancer,19,100,0.85,13,31,140,2.6744058215663613e-05,1
breast_cancer,19,100,0.85,14,2,190,1.0273783217650337e-05,1
breast_cancer,19,100,0.85,15,3,95,1.2639536168299048e-05,1
breast_cancer,19,100,0.85,16,18,32,2.5006581490445365e-05,1
breast_cancer,19,100,0.85,17,9,49,5.4314899100406724e-05,1
breast_cancer,19,100,0.85,18,4,142,3.1507761089262856e-05,1
breast_cancer,19,100,0.85,19,65,113,2.7715095803654277e-05,1
breast_cancer,19,100,0.85,20,1,112,5.6626139644794585e-05,1
breast_cancer,19,100,0.85,21,1,145,-1.2189316186067903e-05,1
breast_cancer,19,100,0.85,22,1,18,-6.56094189102098e-06,1
breast_cancer,19,100,0.85,23,1,19,4.023468144878292e-05,1
breast_cancer,19,100,0.85,24,1,102,4.615829780337151e-05,1
breast_cancer,19,100,0.85,25,1,2,0.7165550328957274,1
breast_cancer,19,100,0.85,26,1,78,0.10912563685965002,1
breast_cancer,19,100,0.85,27,1,9,0.014143999310003975,1
breast_cancer,19,100,0.85,28,1,58,0.010617019649692132,1
breast_cancer,19,100,0.85,29,1,100,7.103401281210835e-05,1
breast_cancer,19,100,0.85,30,1,42,0.003240127981780666,1
breast_cancer,19,100,0.9,1,18,94,5.558846311592633e-05,1
breast_cancer,19,100,0.9,2,1,74,3.4970736820075926e-05,1
breast_cancer,19,100,0.9,3,1,13,-8.124056389200579e-06,1
breast_cancer,19,100,0.9,4,3,184,1.268364865690888e-05,1
breast_cancer,19,100,0.9,5,1,181,4.939868219235033e-07,1
breast_cancer,19,100,0.9,6,1,91,-3.693923677421801e-06,1
breast_cancer,19,100,0.9,7,1,135,6.220826350315789e-06,1
breast_cancer,19,100,0.9,8,6,48,1.8007275294985164e-05,1
breast_cancer,19,100,0.9,9,2,173,1.4189532326833176e-05,1
breast_cancer,19,100,0.9,10,1,178,-5.775682118005707e-06,1
breast_cancer,19,100,0.9,11,2,98,1.3338316241522444e-05,1
breast_cancer,19,100,0.9,12,2,183,6.418725203028927e-06,1
breast_cancer,19,100,0.9,13,2,108,1.4054704422027109e-05,1
breast_cancer,19,100,0.9,14,1,172,2.7472808258235254e-06,1
breast_cancer,19,100,0.9,15,6,144,2.728956866535938e-05,1
breast_cancer,19,100,0.9,16,1,52,9.96983187996972e-06,1
breast_cancer,19,100,0.9,17,16,140,2.6744058215663613e-05,1
breast_cancer,19,100,0.9,18,2,134,1.9580585992790694e-05,1
breast_cancer,19,100,0.9,19,13,109,1.6772254359575037e-05,1
breast_cancer,19,100,0.9,20,2,190,1.0273783217650337e-05,1
breast_cancer,19,100,0.9,21,3,95,1.2639536168299048e-05,1
breast_cancer,19,100,0.9,22,11,32,2.5006581490445365e-05,1
breast_cancer,19,100,0.9,23,2,163,1.0535878892674669e-05,1
breast_cancer,19,100,0.9,24,5,166,1.4488344304126877e-05,1
breast_cancer,19,100,0.9,25,2,49,5.4314899100406724e-05,1
breast_cancer,19,100,0.9,26,7,47,1.3759965371930305e-05,1
breast_cancer,19,100,0.9,27,4,142,3.1507761089262856e-05,1
breast_cancer,19,100,0.9,28,6,6,1.557896694007535e-05,1
breast_cancer,19,100,0.9,29,1,46,1.8342239907764846e-06,1
breast_cancer,19,100,0.9,30,5,127,1.6336246431337617e-05,1
breast_cancer,19,100,0.9,31,52,113,2.7715095803654277e-05,1
breast_cancer,19,100,0.9,32,1,56,2.3868874380154892e-05,1
breast_cancer,19,100,0.9,33,1,112,5.6626139644794585e-05,1
breast_cancer,19,100,0.9,34,1,145,-1.2189316186067903e-05,1
breast_cancer,19,100,0.9,35,1,18,-6.56094189102098e-06,1
breast_cancer,19,100,0.9,36,1,19,4.023468144878292e-05,1
breast_cancer,19,100,0.9,37,1,102,4.615829780337151e-05,1
breast_cancer,19,100,0.9,38,1,2,0.7165550328957274,1
breast_cancer,19,100,0.9,39,1,78,0.10912563685965002,1
breast_cancer,19,100,0.9,40,1,9,0.014143999310003975,1
breast_cancer,19,100,0.9,41,1,58,0.010617019649692132,1
breast_cancer,19,100,0.9,42,1,100,7.103401281210835e-05,1
breast_cancer,19,100,0.9,43,1,42,0.003240127981780666,1
breast_cancer,23,25,0.75,1,13,146,4.767496055031045e-05,1
breast_cancer,23,25,0.75,2,1,135,-8.53291497063674e-05,1
breast_cancer,23,25,0.75,3,3,48,4.9812147886397345e-05,1
breast_cancer,23,25,0.75,4,4,51,5.5747852836410955e-05,1
breast_cancer,23,25,0.75,5,4,15,5.84112103706215e-05,1
breast_cancer,23,25,0.75,6,151,128,0.00024525170917075526,1
breast_cancer,23,25,0.75,7,2,25,5.013571417012211e-05,1
breast_cancer,23,25,0.75,8,5,123,4.6542243568994945e-05,1
breast_cancer,23,25,0.75,9,1,69,0.0001035000605392987,1
breast_cancer,23,25,0.75,10,1,134,5.2247983715784235e-05,1
breast_cancer,23,25,0.75,11,1,188,0.000173584619154038,1
breast_cancer,23,25,0.75,12,2,100,0.31313131421513224,1
breast_cancer,23,25,0.75,13,1,106,0.016236684115320844,1
breast_cancer,23,25,0.75,14,1,109,0.004799405432835354,1
breast_cancer,23,25,0.75,15,1,39,0.007486494644904869,1
breast_cancer,23,25,0.75,16,1,152,0.00861275419825264,1
breast_cancer,23,25,0.85,1,2,126,7.512451027254924e-06,1
breast_cancer,23,25,0.85,2,11,146,4.767496055031045e-05,1
breast_cancer,23,25,0.85,3,1,135,-8.53291497063674e-05,1
breast_cancer,23,25,0.85,4,3,48,4.9812147886397345e-05,1
breast_cancer,23,25,0.85,5,4,51,5.5747852836410955e-05,1
breast_cancer,23,25,0.85,6,4,15,5.84112103706215e-05,1
breast_cancer,23,25,0.85,7,12,128,0.00024525170917075526,1
breast_cancer,23,25,0.85,8,7,101,5.528500381749707e-05,1
breast_cancer,23,25,0.85,9,131,73,0.00012415914217593638,1
breast_cancer,23,25,0.85,10,1,76,5.3613875249044346e-05,1
breast_cancer,23,25,0.85,11,2,25,5.013571417012211e-05,1
breast_cancer,23,25,0.85,12,5,123,4.6542243568994945e-05,1
breast_cancer,23,25,0.85,13,1,69,0.0001035000605392987,1
breast_cancer,23,25,0.85,14,1,134,5.2247983715784235e-05,1
breast_cancer,23,25,0.85,15,1,188,0.000173584619154038,1
breast_cancer,23,25,0.85,16,2,100,0.31313131421513224,1
breast_cancer,23,25,0.85,17,1,106,0.016236684115320844,1
breast_cancer,23,25,0.85,18,1,109,0.004799405432835354,1
