dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,50,0.85,13,12,467,18.043911706100044,1
covtype_binary_20000,1,50,0.85,14,6,460,18.043911706100044,1
covtype_binary_20000,1,50,0.85,15,12,767,18.043911706100044,1
covtype_binary_20000,1,50,0.85,16,8,5,18.01266436528935,1
covtype_binary_20000,1,50,0.85,17,8,15,17.14490337500966,0
covtype_binary_20000,1,50,0.85,18,9,20,17.79361485075294,0
covtype_binary_20000,1,50,0.85,19,6,646,18.043911706100044,1
covtype_binary_20000,1,50,0.85,20,6,550,18.043911706100044,1
covtype_binary_20000,1,50,0.85,21,12,868,18.021140297940615,1
covtype_binary_20000,1,50,0.85,22,31,594,18.043911706100044,1
covtype_binary_20000,1,50,0.85,23,1,292,2.1943648829674838,0
covtype_binary_20000,1,50,0.85,24,1,376,1.0133269228547188,0
covtype_binary_20000,1,50,0.85,25,6,681,18.043911706100044,1
covtype_binary_20000,1,50,0.85,26,7,386,17.909542006082003,0
covtype_binary_20000,1,50,0.85,27,16,2,18.043911706100044,1
covtype_binary_20000,1,50,0.85,28,8,59,18.042180720483078,1
covtype_binary_20000,1,50,0.85,29,8,392,17.751709080159646,0
covtype_binary_20000,1,50,0.85,30,18,86,18.043911706100044,1
covtype_binary_20000,1,50,0.85,31,1,499,0.003083729390941814,0
covtype_binary_20000,1,50,0.85,32,6,888,18.043911706100044,1
covtype_binary_20000,1,50,0.85,33,6,823,18.043911706100044,1
covtype_binary_20000,1,50,0.85,34,3,54,16.29367781817849,0
covtype_binary_20000,1,50,0.85,35,6,579,18.043911706100044,1
covtype_binary_20000,1,50,0.85,36,12,246,5.202202816255595,0
covtype_binary_20000,1,50,0.85,37,4,19,16.80401194641459,0
covtype_binary_20000,1,50,0.85,38,6,834,17.283230735469335,0
covtype_binary_20000,1,50,0.85,39,6,398,18.043911706100044,1
covtype_binary_20000,1,50,0.85,40,12,92,13.93823358782492,0
covtype_binary_20000,1,50,0.85,41,6,701,18.043911706100044,1
covtype_binary_20000,1,50,0.85,42,9,102,18.01718767620237,1
covtype_binary_20000,1,50,0.85,43,9,24,17.497511638896984,0
covtype_binary_20000,1,50,0.85,44,6,110,17.122506922932203,0
covtype_binary_20000,1,50,0.85,45,6,703,18.043911706100044,1
covtype_binary_20000,1,50,0.85,46,12,597,18.043911706100044,1
covtype_binary_20000,1,50,0.85,47,11,154,8.235243659596488,0
covtype_binary_20000,1,50,0.85,48,6,810,18.043911706100044,1
covtype_binary_20000,1,50,0.85,49,6,447,17.9599705364989,0
covtype_binary_20000,1,50,0.85,50,8,116,17.87014059711519,0
covtype_binary_20000,1,50,0.85,51,6,565,18.043911706100044,1
covtype_binary_20000,1,50,0.85,52,6,635,18.043911706100044,1
covtype_binary_20000,1,50,0.85,53,6,518,18.043911706100044,1
covtype_binary_20000,1,50,0.85,54,5,237,1.5653665294789825,0
covtype_binary_20000,1,50,0.85,55,40,164,16.961098926875486,0
covtype_binary_20000,1,50,0.85,56,8,67,17.086411156266234,0
covtype_binary_20000,1,50,0.85,57,1,915,0.0006364152154283431,0
covtype_binary_20000,1,50,0.85,58,1,794,0.26867962596811795,0
covtype_binary_20000,1,50,0.85,59,12,716,18.043911706100044,1
covtype_binary_20000,1,50,0.85,60,42,43,16.64798911781303,0
covtype_binary_20000,1,50,0.85,61,19,782,18.043911706100044,1
covtype_binary_20000,1,50,0.85,62,7,108,3.9352458401589545,0
covtype_binary_20000,1,50,0.85,63,6,695,18.043911706100044,1
covtype_binary_20000,1,50,0.85,64,9,48,18.043911706100044,1
covtype_binary_20000,1,50,0.85,65,9,71,17.709518519378033,0
covtype_binary_20000,1,50,0.85,66,12,166,10.01889193515504,0
covtype_binary_20000,1,50,0.85,67,6,549,18.043911706100044,1
covtype_binary_20000,1,50,0.85,68,9,0,18.043911707128586,1
covtype_binary_20000,1,50,0.85,69,12,693,17.954165348970545,0
covtype_binary_20000,1,50,0.85,70,20,522,18.043911706100044,1
covtype_binary_20000,1,50,0.85,71,42,109,9.624459405238929,0
covtype_binary_20000,1,50,0.85,72,43,98,8.23107596707006,0
covtype_binary_20000,1,50,0.85,73,2,438,0.1842764383127507,0
covtype_binary_20000,1,50,0.85,74,7,458,18.043911706100044,1
covtype_binary_20000,1,50,0.85,75,7,685,18.043911706100044,1
covtype_binary_20000,1,50,0.85,76,9,104,17.40763229263146,0
covtype_binary_20000,1,50,0.85,77,9,411,17.899200462712717,0
covtype_binary_20000,1,50,0.85,78,9,359,18.043911706100044,1
covtype_binary_20000,1,50,0.85,79,13,609,18.043911706100044,1
covtype_binary_20000,1,50,0.85,80,9,64,17.727508543339656,0
covtype_binary_20000,1,50,0.85,81,1,32,0.011170629727558556,0
covtype_binary_20000,1,50,0.85,82,1,373,-0.0015440225379488304,0
covtype_binary_20000,1,50,0.85,83,6,722,18.043911706100044,1
covtype_binary_20000,1,50,0.85,84,6,847,18.043911706100044,1
covtype_binary_20000,1,50,0.85,85,6,511,17.974082730442454,0
covtype_binary_20000,1,50,0.85,86,6,786,18.043911706100044,1
covtype_binary_20000,1,50,0.85,87,1,6,0.3935493804145012,0
covtype_binary_20000,1,50,0.85,88,9,212,17.724094822006773,0
covtype_binary_20000,1,50,0.85,89,1,477,0.013345839433149376,0
covtype_binary_20000,1,50,0.85,90,12,34,16.993715250450094,0
covtype_binary_20000,1,50,0.85,91,6,830,18.043911706100044,1
covtype_binary_20000,1,50,0.85,92,7,554,17.884171267914102,0
covtype_binary_20000,1,50,0.85,93,12,53,16.220746777190833,0
covtype_binary_20000,1,50,0.85,94,6,835,18.043911706100044,1
covtype_binary_20000,1,50,0.85,95,6,667,18.043911706100044,1
covtype_binary_20000,1,50,0.85,96,10,89,15.704573650026425,0
covtype_binary_20000,1,50,0.85,97,7,107,18.013233508478233,1
covtype_binary_20000,1,50,0.85,98,7,175,17.546315518794454,0
covtype_binary_20000,1,50,0.85,99,7,216,17.607427386490198,0
covtype_binary_20000,1,50,0.85,100,8,226,17.949511542844817,0
covtype_binary_20000,1,50,0.9,1,9,424,18.001515209906387,0
covtype_binary_20000,1,50,0.9,2,12,563,18.043911706100044,1
covtype_binary_20000,1,50,0.9,3,15,466,18.043911706100044,1
covtype_binary_20000,1,50,0.9,4,1,103,0.0016685233301324542,0
covtype_binary_20000,1,50,0.9,5,18,101,18.043911706100044,1
covtype_binary_20000,1,50,0.9,6,2,295,18.02199090177309,1
covtype_binary_20000,1,50,0.9,7,1,488,6.766018635535151,0
covtype_binary_20000,1,50,0.9,8,6,539,18.043911706100044,1
covtype_binary_20000,1,50,0.9,9,6,491,18.043911706100044,1
covtype_binary_20000,1,50,0.9,10,17,725,18.043911706100044,1
covtype_binary_20000,1,50,0.9,11,1,129,0.3126433159738376,0
covtype_binary_20000,1,50,0.9,12,7,661,18.043911706100044,1
covtype_binary_20000,1,50,0.9,13,2,182,0.27242631377089327,0
covtype_binary_20000,1,50,0.9,14,12,643,18.043911706100044,1
covtype_binary_20000,1,50,0.9,15,6,736,18.043911706100044,1
covtype_binary_20000,1,50,0.9,16,6,467,18.043911706100044,1
covtype_binary_20000,1,50,0.9,17,6,460,18.043911706100044,1
covtype_binary_20000,1,50,0.9,18,12,767,18.043911706100044,1
covtype_binary_20000,1,50,0.9,19,8,5,18.01266436528935,0
covtype_binary_20000,1,50,0.9,20,8,15,17.14490337500966,0
covtype_binary_20000,1,50,0.9,21,9,20,17.79361485075294,0
covtype_binary_20000,1,50,0.9,22,6,646,18.043911706100044,1
covtype_binary_20000,1,50,0.9,23,6,550,18.043911706100044,1
covtype_binary_20000,1,50,0.9,24,6,868,18.021140297940615,1
covtype_binary_20000,1,50,0.9,25,6,885,17.979542526536264,0
covtype_binary_20000,1,50,0.9,26,31,594,18.043911706100044,1
covtype_binary_20000,1,50,0.9,27,1,292,2.1943648829674838,0
covtype_binary_20000,1,50,0.9,28,1,376,1.0133269228547188,0
covtype_binary_20000,1,50,0.9,29,6,681,18.043911706100044,1
covtype_binary_20000,1,50,0.9,30,7,386,17.909542006082003,0
covtype_binary_20000,1,50,0.9,31,7,233,17.093893820281416,0
covtype_binary_20000,1,50,0.9,32,9,2,18.043911706100044,1
covtype_binary_20000,1,50,0.9,33,8,59,18.042180720483078,1
covtype_binary_20000,1,50,0.9,34,8,392,17.751709080159646,0
covtype_binary_20000,1,50,0.9,35,18,86,18.043911706100044,1
covtype_binary_20000,1,50,0.9,36,1,499,0.003083729390941814,0
covtype_binary_20000,1,50,0.9,37,6,888,18.043911706100044,1
covtype_binary_20000,1,50,0.9,38,6,823,18.043911706100044,1
covtype_binary_20000,1,50,0.9,39,3,54,16.29367781817849,0
covtype_binary_20000,1,50,0.9,40,6,579,18.043911706100044,1
covtype_binary_20000,1,50,0.9,41,12,246,5.202202816255595,0
covtype_binary_20000,1,50,0.9,42,4,19,16.80401194641459,0
covtype_binary_20000,1,50,0.9,43,6,834,17.283230735469335,0
covtype_binary_20000,1,50,0.9,44,6,398,18.043911706100044,1
covtype_binary_20000,1,50,0.9,45,12,92,13.93823358782492,0
covtype_binary_20000,1,50,0.9,46,6,701,18.043911706100044,1
covtype_binary_20000,1,50,0.9,47,9,102,18.01718767620237,1
covtype_binary_20000,1,50,0.9,48,9,24,17.497511638896984,0
covtype_binary_20000,1,50,0.9,49,6,110,17.122506922932203,0
covtype_binary_20000,1,50,0.9,50,6,703,18.043911706100044,1
covtype_binary_20000,1,50,0.9,51,12,597,18.043911706100044,1
covtype_binary_20000,1,50,0.9,52,11,154,8.235243659596488,0
covtype_binary_20000,1,50,0.9,53,6,810,18.043911706100044,1
covtype_binary_20000,1,50,0.9,54,6,447,17.9599705364989,0
covtype_binary_20000,1,50,0.9,55,8,116,17.87014059711519,0
covtype_binary_20000,1,50,0.9,56,6,565,18.043911706100044,1
covtype_binary_20000,1,50,0.9,57,6,635,18.043911706100044,1
covtype_binary_20000,1,50,0.9,58,6,518,18.043911706100044,1
covtype_binary_20000,1,50,0.9,59,5,237,1.5653665294789825,0
covtype_binary_20000,1,50,0.9,60,40,164,16.961098926875486,0
covtype_binary_20000,1,50,0.9,61,8,67,17.086411156266234,0
covtype_binary_20000,1,50,0.9,62,1,915,0.0006364152154283431,0
covtype_binary_20000,1,50,0.9,63,1,794,0.26867962596811795,0
covtype_binary_20000,1,50,0.9,64,6,716,18.043911706100044,1
covtype_binary_20000,1,50,0.9,65,6,388,17.254857034016457,0
covtype_binary_20000,1,50,0.9,66,42,43,16.64798911781303,0
covtype_binary_20000,1,50,0.9,67,18,782,18.043911706100044,1
covtype_binary_20000,1,50,0.9,68,1,357,15.585895036524239,0
covtype_binary_20000,1,50,0.9,69,7,108,3.9352458401589545,0
covtype_binary_20000,1,50,0.9,70,6,695,18.043911706100044,1
covtype_binary_20000,1,50,0.9,71,9,48,18.043911706100044,1
covtype_binary_20000,1,50,0.9,72,9,71,17.709518519378033,0
covtype_binary_20000,1,50,0.9,73,12,166,10.01889193515504,0
covtype_binary_20000,1,50,0.9,74,6,549,18.043911706100044,1
covtype_binary_20000,1,50,0.9,75,9,0,18.043911707128586,1
covtype_binary_20000,1,50,0.9,76,6,693,17.954165348970545,0
covtype_binary_20000,1,50,0.9,77,6,531,17.678812865737072,0
covtype_binary_20000,1,50,0.9,78,20,522,18.043911706100044,1
covtype_binary_20000,1,50,0.9,79,42,109,9.624459405238929,0
covtype_binary_20000,1,50,0.9,80,43,98,8.23107596707006,0
covtype_binary_20000,1,50,0.9,81,2,438,0.1842764383127507,0
covtype_binary_20000,1,50,0.9,82,7,458,18.043911706100044,1
covtype_binary_20000,1,50,0.9,83,6,685,18.043911706100044,1
covtype_binary_20000,1,50,0.9,84,1,94,0.0009781525803899682,0
covtype_binary_20000,1,50,0.9,85,9,104,17.40763229263146,0
covtype_binary_20000,1,50,0.9,86,9,411,17.899200462712717,0
covtype_binary_20000,1,50,0.9,87,9,359,18.043911706100044,1
covtype_binary_20000,1,50,0.9,88,13,609,18.043911706100044,1
covtype_binary_20000,1,50,0.9,89,9,64,17.727508543339656,0
covtype_binary_20000,1,50,0.9,90,1,32,0.011170629727558556,0
covtype_binary_20000,1,50,0.9,91,1,373,-0.0015440225379488304,0
covtype_binary_20000,1,50,0.9,92,6,722,18.043911706100044,1
covtype_binary_20000,1,50,0.9,93,6,847,18.043911706100044,1
covtype_binary_20000,1,50,0.9,94,6,511,17.974082730442454,0
covtype_binary_20000,1,50,0.9,95,6,786,18.043911706100044,1
covtype_binary_20000,1,50,0.9,96,1,6,0.3935493804145012,0
covtype_binary_20000,1,50,0.9,97,9,212,17.724094822006773,0
covtype_binary_20000,1,50,0.9,98,1,477,0.013345839433149376,0
covtype_binary_20000,1,50,0.9,99,12,34,16.993715250450094,0
covtype_binary_20000,1,50,0.9,100,6,830,18.043911706100044,1
covtype_binary_20000,1,50,0.9,101,7,554,17.884171267914102,0
covtype_binary_20000,1,50,0.9,102,12,53,16.220746777190833,0
covtype_binary_20000,1,50,0.9,103,6,835,18.043911706100044,1
covtype_binary_20000,1,50,0.9,104,6,667,18.043911706100044,1
covtype_binary_20000,1,50,0.9,105,10,89,15.704573650026425,0
covtype_binary_20000,1,50,0.9,106,7,107,18.013233508478233,0
covtype_binary_20000,1,50,0.9,107,7,175,17.546315518794454,0
covtype_binary_20000,1,50,0.9,108,7,216,17.607427386490198,0
covtype_binary_20000,1,50,0.9,109,8,226,17.949511542844817,0
covtype_binary_20000,1,100,0.75,1,9,424,18.001515209906387,1
covtype_binary_20000,1,100,0.75,2,12,563,18.043911706100044,1
covtype_binary_20000,1,100,0.75,3,16,466,18.043911706100044,1
covtype_binary_20000,1,100,0.75,4,18,101,18.043911706100044,1
covtype_binary_20000,1,100,0.75,5,3,295,18.02199090177309,1
covtype_binary_20000,1,100,0.75,6,6,539,18.043911706100044,1
covtype_binary_20000,1,100,0.75,7,23,491,18.043911706100044,1
covtype_binary_20000,1,100,0.75,8,1,129,0.3126433159738376,1
covtype_binary_20000,1,100,0.75,9,7,661,18.043911706100044,1
covtype_binary_20000,1,100,0.75,10,2,182,0.27242631377089327,1
covtype_binary_20000,1,100,0.75,11,12,643,18.043911706100044,1
covtype_binary_20000,1,100,0.75,12,12,467,18.043911706100044,1
covtype_binary_20000,1,100,0.75,13,6,460,18.043911706100044,1
covtype_binary_20000,1,100,0.75,14,12,767,18.043911706100044,1
covtype_binary_20000,1,100,0.75,15,8,5,18.01266436528935,1
covtype_binary_20000,1,100,0.75,16,8,15,17.14490337500966,1
covtype_binary_20000,1,100,0.75,17,9,20,17.79361485075294,1
covtype_binary_20000,1,100,0.75,18,6,646,18.043911706100044,1
covtype_binary_20000,1,100,0.75,19,6,550,18.043911706100044,1
covtype_binary_20000,1,100,0.75,20,12,868,18.021140297940615,1
covtype_binary_20000,1,100,0.75,21,32,594,18.043911706100044,1
covtype_binary_20000,1,100,0.75,22,1,376,1.0133269228547188,1
covtype_binary_20000,1,100,0.75,23,6,681,18.043911706100044,1
covtype_binary_20000,1,100,0.75,24,7,386,17.909542006082003,1
covtype_binary_20000,1,100,0.75,25,16,2,18.043911706100044,1
covtype_binary_20000,1,100,0.75,26,8,59,18.042180720483078,1
covtype_binary_20000,1,100,0.75,27,8,392,17.751709080159646,1
covtype_binary_20000,1,100,0.75,28,19,86,18.043911706100044,1
covtype_binary_20000,1,100,0.75,29,6,888,18.043911706100044,1
covtype_binary_20000,1,100,0.75,30,6,823,18.043911706100044,1
covtype_binary_20000,1,100,0.75,31,3,54,16.29367781817849,1
covtype_binary_20000,1,100,0.75,32,6,579,18.043911706100044,1
covtype_binary_20000,1,100,0.75,33,12,246,5.202202816255595,1
covtype_binary_20000,1,100,0.75,34,4,19,16.80401194641459,1
covtype_binary_20000,1,100,0.75,35,12,398,18.043911706100044,1
covtype_binary_20000,1,100,0.75,36,12,92,13.93823358782492,1
covtype_binary_20000,1,100,0.75,37,6,701,18.043911706100044,1
covtype_binary_20000,1,100,0.75,38,9,102,18.01718767620237,1
covtype_binary_20000,1,100,0.75,39,9,24,17.497511638896984,1
covtype_binary_20000,1,100,0.75,40,6,110,17.122506922932203,1
covtype_binary_20000,1,100,0.75,41,6,703,18.043911706100044,1
covtype_binary_20000,1,100,0.75,42,12,597,18.043911706100044,1
covtype_binary_20000,1,100,0.75,43,11,154,8.235243659596488,1
covtype_binary_20000,1,100,0.75,44,12,810,18.043911706100044,1
covtype_binary_20000,1,100,0.75,45,8,116,17.87014059711519,1
covtype_binary_20000,1,100,0.75,46,12,565,18.043911706100044,1
covtype_binary_20000,1,100,0.75,47,6,518,18.043911706100044,1
covtype_binary_20000,1,100,0.75,48,5,237,1.5653665294789825,1
covtype_binary_20000,1,100,0.75,49,40,164,16.961098926875486,1
covtype_binary_20000,1,100,0.75,50,9,67,17.086411156266234,1
covtype_binary_20000,1,100,0.75,51,1,794,0.26867962596811795,1
covtype_binary_20000,1,100,0.75,52,12,716,18.043911706100044,1
covtype_binary_20000,1,100,0.75,53,42,43,16.64798911781303,1
covtype_binary_20000,1,100,0.75,54,19,782,18.043911706100044,1
covtype_binary_20000,1,100,0.75,55,7,108,3.9352458401589545,1
covtype_binary_20000,1,100,0.75,56,6,695,18.043911706100044,1
covtype_binary_20000,1,100,0.75,57,18,48,18.043911706100044,1
covtype_binary_20000,1,100,0.75,58,12,166,10.01889193515504,1
covtype_binary_20000,1,100,0.75,59,6,549,18.043911706100044,1
covtype_binary_20000,1,100,0.75,60,9,0,18.043911707128586,1
covtype_binary_20000,1,100,0.75,61,12,693,17.954165348970545,1
covtype_binary_20000,1,100,0.75,62,20,522,18.043911706100044,1
covtype_binary_20000,1,100,0.75,63,42,109,9.624459405238929,1
covtype_binary_20000,1,100,0.75,64,43,98,8.23107596707006,1
covtype_binary_20000,1,100,0.75,65,2,438,0.1842764383127507,1
covtype_binary_20000,1,100,0.75,66,7,458,18.043911706100044,1
covtype_binary_20000,1,100,0.75,67,7,685,18.043911706100044,1
covtype_binary_20000,1,100,0.75,68,9,104,17.40763229263146,1
covtype_binary_20000,1,100,0.75,69,9,411,17.899200462712717,1
covtype_binary_20000,1,100,0.75,70,9,359,18.043911706100044,1
covtype_binary_20000,1,100,0.75,71,13,609,18.043911706100044,1
covtype_binary_20000,1,100,0.75,72,9,64,17.727508543339656,1
covtype_binary_20000,1,100,0.75,73,1,32,0.011170629727558556,1
covtype_binary_20000,1,100,0.75,74,1,373,-0.0015440225379488304,1
covtype_binary_20000,1,100,0.75,75,6,722,18.043911706100044,1
covtype_binary_20000,1,100,0.75,76,12,847,18.043911706100044,1
covtype_binary_20000,1,100,0.75,77,7,786,18.043911706100044,1
covtype_binary_20000,1,100,0.75,78,9,212,17.724094822006773,1
covtype_binary_20000,1,100,0.75,79,1,477,0.013345839433149376,1
covtype_binary_20000,1,100,0.75,80,12,34,16.993715250450094,1
covtype_binary_20000,1,100,0.75,81,6,830,18.043911706100044,1
covtype_binary_20000,1,100,0.75,82,7,554,17.884171267914102,1
covtype_binary_20000,1,100,0.75,83,12,53,16.220746777190833,1
covtype_binary_20000,1,100,0.75,84,6,835,18.043911706100044,1
covtype_binary_20000,1,100,0.75,85,6,667,18.043911706100044,1
covtype_binary_20000,1,100,0.75,86,10,89,15.704573650026425,1
covtype_binary_20000,1,100,0.75,87,7,107,18.013233508478233,1
covtype_binary_20000,1,100,0.75,88,7,175,17.546315518794454,1
covtype_binary_20000,1,100,0.75,89,7,216,17.607427386490198,1
covtype_binary_20000,1,100,0.75,90,8,226,17.949511542844817,1
covtype_binary_20000,1,100,0.85,1,9,424,18.001515209906387,1
covtype_binary_20000,1,100,0.85,2,12,563,18.043911706100044,1
covtype_binary_20000,1,100,0.85,3,15,466,18.043911706100044,1
covtype_binary_20000,1,100,0.85,4,1,103,0.0016685233301324542,1
covtype_binary_20000,1,100,0.85,5,18,101,18.043911706100044,1
covtype_binary_20000,1,100,0.85,6,3,295,18.02199090177309,1
covtype_binary_20000,1,100,0.85,7,6,539,18.043911706100044,1
covtype_binary_20000,1,100,0.85,8,23,491,18.043911706100044,1
covtype_binary_20000,1,100,0.85,9,1,129,0.3126433159738376,1
covtype_binary_20000,1,100,0.85,10,7,661,18.043911706100044,1
covtype_binary_20000,1,100,0.85,11,2,182,0.27242631377089327,1
covtype_binary_20000,1,100,0.85,12,12,643,18.043911706100044,1
covtype_binary_20000,1,100,0.85,13,12,467,18.043911706100044,1
covtype_binary_20000,1,100,0.85,14,6,460,18.043911706100044,1
covtype_binary_20000,1,100,0.85,15,12,767,18.043911706100044,1
covtype_binary_20000,1,100,0.85,16,8,5,18.01266436528935,1
covtype_binary_20000,1,100,0.85,17,8,15,17.14490337500966,1
covtype_binary_20000,1,100,0.85,18,9,20,17.79361485075294,1
covtype_binary_20000,1,100,0.85,19,6,646,18.043911706100044,1
covtype_binary_20000,1,100,0.85,20,6,550,18.043911706100044,1
covtype_binary_20000,1,100,0.85,21,12,868,18.021140297940615,1
covtype_binary_20000,1,100,0.85,22,31,594,18.043911706100044,1
covtype_binary_20000,1,100,0.85,23,1,292,2.1943648829674838,1
covtype_binary_20000,1,100,0.85,24,1,376,1.0133269228547188,1
covtype_binary_20000,1,100,0.85,25,6,681,18.043911706100044,1
covtype_binary_20000,1,100,0.85,26,7,386,17.909542006082003,1
covtype_binary_20000,1,100,0.85,27,16,2,18.043911706100044,1
covtype_binary_20000,1,100,0.85,28,8,59,18.042180720483078,1
covtype_binary_20000,1,100,0.85,29,8,392,17.751709080159646,1
covtype_binary_20000,1,100,0.85,30,18,86,18.043911706100044,1
covtype_binary_20000,1,100,0.85,31,1,499,0.003083729390941814,1
covtype_binary_20000,1,100,0.85,32,6,888,18.043911706100044,1
covtype_binary_20000,1,100,0.85,33,6,823,18.043911706100044,1
covtype_binary_20000,1,100,0.85,34,3,54,16.29367781817849,1
covtype_binary_20000,1,100,0.85,35,6,579,18.043911706100044,1
covtype_binary_20000,1,100,0.85,36,12,246,5.202202816255595,1
covtype_binary_20000,1,100,0.85,37,4,19,16.80401194641459,1
covtype_binary_20000,1,100,0.85,38,6,834,17.283230735469335,1
covtype_binary_20000,1,100,0.85,39,6,398,18.043911706100044,1
covtype_binary_20000,1,100,0.85,40,12,92,13.93823358782492,1
covtype_binary_20000,1,100,0.85,41,6,701,18.043911706100044,1
covtype_binary_20000,1,100,0.85,42,9,102,18.01718767620237,1
covtype_binary_20000,1,100,0.85,43,9,24,17.497511638896984,1
covtype_binary_20000,1,100,0.85,44,6,110,17.122506922932203,1
covtype_binary_20000,1,100,0.85,45,6,703,18.043911706100044,1
covtype_binary_20000,1,100,0.85,46,12,597,18.043911706100044,1
covtype_binary_20000,1,100,0.85,47,11,154,8.235243659596488,1
covtype_binary_20000,1,100,0.85,48,6,810,18.043911706100044,1
covtype_binary_20000,1,100,0.85,49,6,447,17.9599705364989,1
covtype_binary_20000,1,100,0.85,50,8,116,17.87014059711519,1
