dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,23,100,budget_prune_h_lr,100,0.7592592592592593,0.8398439024390245,0.8019225067731228
covtype_binary_20000,23,100,stable_budget_prune_h_lr,100,0.7592592592592593,0.8398439024390245,0.8019225067731228
covtype_binary_20000,23,100,gate_l1_topk_proxy_h_lr,100,0.7821586988664366,0.8588657911194497,0.832256657214863
covtype_binary_20000,23,100,forward_f1_h_lr,100,0.7768199233716475,0.8357886178861789,0.8021438372029401
covtype_binary_20000,23,200,budget_prune_h_lr,200,0.772793759141882,0.8486461538461539,0.816650648786792
covtype_binary_20000,23,200,stable_budget_prune_h_lr,160,0.7728599221789884,0.8439279549718574,0.8101985023066262
covtype_binary_20000,23,200,gate_l1_topk_proxy_h_lr,200,0.7805480128363367,0.8595892432770481,0.8344970446319914
covtype_binary_20000,23,200,forward_f1_h_lr,160,0.7728599221789884,0.843929205753596,0.8101994459263331
covtype_binary_20000,23,400,budget_prune_h_lr,400,0.7812963879267689,0.8584422764227643,0.8325690989984925
covtype_binary_20000,23,400,stable_budget_prune_h_lr,160,0.7728599221789884,0.8439279549718574,0.8101985023066262
covtype_binary_20000,23,400,gate_l1_topk_proxy_h_lr,400,0.78035538005923,0.8599899937460913,0.834169869406821
covtype_binary_20000,23,400,forward_f1_h_lr,160,0.7728599221789884,0.843929205753596,0.8101994459263331
